CNTYFIPS,State,Year,TotalCaseCounts,TotalSolvedCounts
"Abbeville, SC",South Carolina,1977,2,1
"Abbeville, SC",South Carolina,1978,2,2
"Abbeville, SC",South Carolina,1979,3,3
"Abbeville, SC",South Carolina,1980,2,2
"Abbeville, SC",South Carolina,1982,2,2
"Abbeville, SC",South Carolina,1983,3,3
"Abbeville, SC",South Carolina,1984,1,1
"Abbeville, SC",South Carolina,1985,1,1
"Abbeville, SC",South Carolina,1986,3,3
"Abbeville, SC",South Carolina,1987,6,6
"Abbeville, SC",South Carolina,1989,1,1
"Abbeville, SC",South Carolina,1990,4,4
"Abbeville, SC",South Carolina,1991,2,2
"Abbeville, SC",South Carolina,1994,1,1
"Abbeville, SC",South Carolina,1995,3,3
"Abbeville, SC",South Carolina,1996,2,1
"Abbeville, SC",South Carolina,1998,3,3
"Abbeville, SC",South Carolina,1999,4,3
"Abbeville, SC",South Carolina,2000,2,1
"Abbeville, SC",South Carolina,2001,3,3
"Abbeville, SC",South Carolina,2003,2,2
"Abbeville, SC",South Carolina,2004,1,1
"Abbeville, SC",South Carolina,2005,2,2
"Abbeville, SC",South Carolina,2006,3,3
"Abbeville, SC",South Carolina,2007,1,1
"Abbeville, SC",South Carolina,2008,1,1
"Abbeville, SC",South Carolina,2011,1,1
"Abbeville, SC",South Carolina,2013,4,3
"Abbeville, SC",South Carolina,2014,1,1
"Abbeville, SC",South Carolina,2015,3,3
"Abbeville, SC",South Carolina,2016,1,1
"Abbeville, SC",South Carolina,2018,1,1
"Abbeville, SC",South Carolina,2019,11,11
"Acadia, LA",Louisiana,1977,5,5
"Acadia, LA",Louisiana,1978,3,3
"Acadia, LA",Louisiana,1979,3,3
"Acadia, LA",Louisiana,1980,2,2
"Acadia, LA",Louisiana,1981,7,7
"Acadia, LA",Louisiana,1982,5,5
"Acadia, LA",Louisiana,1983,5,5
"Acadia, LA",Louisiana,1984,1,1
"Acadia, LA",Louisiana,1985,2,2
"Acadia, LA",Louisiana,1986,4,4
"Acadia, LA",Louisiana,1987,6,6
"Acadia, LA",Louisiana,1988,1,1
"Acadia, LA",Louisiana,1989,1,1
"Acadia, LA",Louisiana,1990,8,7
"Acadia, LA",Louisiana,1991,3,3
"Acadia, LA",Louisiana,1992,3,3
"Acadia, LA",Louisiana,1993,1,1
"Acadia, LA",Louisiana,1995,1,1
"Acadia, LA",Louisiana,1997,8,5
"Acadia, LA",Louisiana,1998,2,2
"Acadia, LA",Louisiana,1999,4,2
"Acadia, LA",Louisiana,2000,2,2
"Acadia, LA",Louisiana,2002,1,1
"Acadia, LA",Louisiana,2003,4,3
"Acadia, LA",Louisiana,2006,3,3
"Acadia, LA",Louisiana,2009,4,2
"Acadia, LA",Louisiana,2010,1,1
"Acadia, LA",Louisiana,2011,3,3
"Acadia, LA",Louisiana,2012,8,6
"Acadia, LA",Louisiana,2013,3,3
"Acadia, LA",Louisiana,2015,7,4
"Acadia, LA",Louisiana,2016,11,8
"Acadia, LA",Louisiana,2017,7,3
"Acadia, LA",Louisiana,2018,8,6
"Acadia, LA",Louisiana,2019,6,4
"Accomack, VA",Virginia,1976,8,8
"Accomack, VA",Virginia,1977,3,3
"Accomack, VA",Virginia,1978,3,3
"Accomack, VA",Virginia,1979,4,3
"Accomack, VA",Virginia,1980,2,2
"Accomack, VA",Virginia,1981,4,4
"Accomack, VA",Virginia,1982,3,3
"Accomack, VA",Virginia,1984,1,1
"Accomack, VA",Virginia,1985,2,2
"Accomack, VA",Virginia,1986,1,1
"Accomack, VA",Virginia,1987,2,2
"Accomack, VA",Virginia,1988,2,2
"Accomack, VA",Virginia,1989,2,2
"Accomack, VA",Virginia,1990,4,4
"Accomack, VA",Virginia,1991,3,3
"Accomack, VA",Virginia,1992,3,3
"Accomack, VA",Virginia,1993,1,1
"Accomack, VA",Virginia,1994,2,1
"Accomack, VA",Virginia,1997,1,1
"Accomack, VA",Virginia,1998,2,1
"Accomack, VA",Virginia,1999,2,2
"Accomack, VA",Virginia,2001,3,2
"Accomack, VA",Virginia,2002,1,1
"Accomack, VA",Virginia,2003,1,1
"Accomack, VA",Virginia,2004,1,1
"Accomack, VA",Virginia,2005,2,2
"Accomack, VA",Virginia,2006,5,5
"Accomack, VA",Virginia,2007,5,4
"Accomack, VA",Virginia,2008,3,3
"Accomack, VA",Virginia,2009,2,2
"Accomack, VA",Virginia,2010,2,1
"Accomack, VA",Virginia,2011,6,6
"Accomack, VA",Virginia,2012,2,1
"Accomack, VA",Virginia,2013,3,2
"Accomack, VA",Virginia,2014,4,2
"Accomack, VA",Virginia,2015,5,4
"Accomack, VA",Virginia,2016,5,4
"Accomack, VA",Virginia,2017,3,3
"Accomack, VA",Virginia,2019,9,1
"Ada, ID",Idaho,1976,10,9
"Ada, ID",Idaho,1977,9,7
"Ada, ID",Idaho,1978,3,3
"Ada, ID",Idaho,1979,8,6
"Ada, ID",Idaho,1980,7,6
"Ada, ID",Idaho,1981,7,7
"Ada, ID",Idaho,1982,5,4
"Ada, ID",Idaho,1983,4,4
"Ada, ID",Idaho,1984,5,3
"Ada, ID",Idaho,1985,7,6
"Ada, ID",Idaho,1986,5,4
"Ada, ID",Idaho,1987,9,8
"Ada, ID",Idaho,1988,7,5
"Ada, ID",Idaho,1989,1,1
"Ada, ID",Idaho,1990,8,6
"Ada, ID",Idaho,1991,3,2
"Ada, ID",Idaho,1992,8,8
"Ada, ID",Idaho,1993,4,4
"Ada, ID",Idaho,1994,6,6
"Ada, ID",Idaho,1995,6,6
"Ada, ID",Idaho,1996,7,7
"Ada, ID",Idaho,1997,13,12
"Ada, ID",Idaho,1998,7,6
"Ada, ID",Idaho,1999,4,3
"Ada, ID",Idaho,2000,3,2
"Ada, ID",Idaho,2001,4,4
"Ada, ID",Idaho,2002,6,5
"Ada, ID",Idaho,2003,9,8
"Ada, ID",Idaho,2004,1,1
"Ada, ID",Idaho,2005,7,7
"Ada, ID",Idaho,2006,8,8
"Ada, ID",Idaho,2007,14,13
"Ada, ID",Idaho,2008,4,4
"Ada, ID",Idaho,2009,7,7
"Ada, ID",Idaho,2010,7,7
"Ada, ID",Idaho,2011,6,6
"Ada, ID",Idaho,2012,2,2
"Ada, ID",Idaho,2013,4,4
"Ada, ID",Idaho,2014,6,5
"Ada, ID",Idaho,2015,5,5
"Ada, ID",Idaho,2016,8,8
"Ada, ID",Idaho,2017,5,5
"Ada, ID",Idaho,2018,4,4
"Ada, ID",Idaho,2019,11,11
"Adair, IA",Iowa,2001,1,1
"Adair, IA",Iowa,2003,1,1
"Adair, KY",Kentucky,1976,3,3
"Adair, KY",Kentucky,1977,1,1
"Adair, KY",Kentucky,1982,2,1
"Adair, KY",Kentucky,1984,2,2
"Adair, KY",Kentucky,1985,1,1
"Adair, KY",Kentucky,1986,1,1
"Adair, KY",Kentucky,1989,3,2
"Adair, KY",Kentucky,1991,2,2
"Adair, KY",Kentucky,1992,2,2
"Adair, KY",Kentucky,1993,4,1
"Adair, KY",Kentucky,1997,1,1
"Adair, KY",Kentucky,2009,8,7
"Adair, KY",Kentucky,2010,6,6
"Adair, KY",Kentucky,2011,6,5
"Adair, KY",Kentucky,2012,9,9
"Adair, KY",Kentucky,2013,7,7
"Adair, KY",Kentucky,2014,4,4
"Adair, KY",Kentucky,2015,3,3
"Adair, KY",Kentucky,2016,9,9
"Adair, KY",Kentucky,2017,4,4
"Adair, KY",Kentucky,2018,3,3
"Adair, KY",Kentucky,2019,4,4
"Adair, MO",Missouri,1977,1,1
"Adair, MO",Missouri,1979,2,2
"Adair, MO",Missouri,1982,2,2
"Adair, MO",Missouri,1983,3,3
"Adair, MO",Missouri,1988,1,1
"Adair, MO",Missouri,2002,1,1
"Adair, MO",Missouri,2003,1,1
"Adair, MO",Missouri,2006,3,3
"Adair, MO",Missouri,2010,1,1
"Adair, MO",Missouri,2013,1,1
"Adair, MO",Missouri,2014,1,1
"Adair, MO",Missouri,2016,1,1
"Adair, MO",Missouri,2017,1,1
"Adair, MO",Missouri,2019,2,2
"Adair, OK",Oklahoma,1976,1,1
"Adair, OK",Oklahoma,1977,2,2
"Adair, OK",Oklahoma,1981,2,2
"Adair, OK",Oklahoma,1984,1,1
"Adair, OK",Oklahoma,1985,2,2
"Adair, OK",Oklahoma,1986,1,1
"Adair, OK",Oklahoma,1987,4,3
"Adair, OK",Oklahoma,1988,2,2
"Adair, OK",Oklahoma,1989,2,2
"Adair, OK",Oklahoma,1990,2,2
"Adair, OK",Oklahoma,1994,2,2
"Adair, OK",Oklahoma,1995,3,2
"Adair, OK",Oklahoma,1996,3,2
"Adair, OK",Oklahoma,1997,2,2
"Adair, OK",Oklahoma,1998,1,1
"Adair, OK",Oklahoma,1999,4,2
"Adair, OK",Oklahoma,2000,4,3
"Adair, OK",Oklahoma,2001,2,2
"Adair, OK",Oklahoma,2002,2,1
"Adair, OK",Oklahoma,2003,1,1
"Adair, OK",Oklahoma,2004,1,1
"Adair, OK",Oklahoma,2006,1,1
"Adair, OK",Oklahoma,2007,1,1
"Adair, OK",Oklahoma,2008,4,3
"Adair, OK",Oklahoma,2009,2,2
"Adair, OK",Oklahoma,2010,1,1
"Adair, OK",Oklahoma,2011,4,4
"Adair, OK",Oklahoma,2015,1,1
"Adair, OK",Oklahoma,2016,2,2
"Adair, OK",Oklahoma,2017,2,2
"Adair, OK",Oklahoma,2019,1,1
"Adams, CO",Colorado,1976,10,6
"Adams, CO",Colorado,1977,3,3
"Adams, CO",Colorado,1978,9,9
"Adams, CO",Colorado,1979,9,7
"Adams, CO",Colorado,1980,12,7
"Adams, CO",Colorado,1981,14,11
"Adams, CO",Colorado,1982,14,12
"Adams, CO",Colorado,1983,14,11
"Adams, CO",Colorado,1984,11,7
"Adams, CO",Colorado,1985,12,9
"Adams, CO",Colorado,1986,17,13
"Adams, CO",Colorado,1987,14,12
"Adams, CO",Colorado,1988,19,16
"Adams, CO",Colorado,1989,5,4
"Adams, CO",Colorado,1990,13,13
"Adams, CO",Colorado,1991,11,9
"Adams, CO",Colorado,1992,19,14
"Adams, CO",Colorado,1993,16,11
"Adams, CO",Colorado,1994,8,8
"Adams, CO",Colorado,1995,5,5
"Adams, CO",Colorado,1996,10,10
"Adams, CO",Colorado,1997,7,6
"Adams, CO",Colorado,1998,14,13
"Adams, CO",Colorado,1999,20,15
"Adams, CO",Colorado,2000,9,6
"Adams, CO",Colorado,2001,10,9
"Adams, CO",Colorado,2002,13,12
"Adams, CO",Colorado,2003,16,12
"Adams, CO",Colorado,2004,21,17
"Adams, CO",Colorado,2005,12,8
"Adams, CO",Colorado,2006,19,16
"Adams, CO",Colorado,2007,10,10
"Adams, CO",Colorado,2008,14,14
"Adams, CO",Colorado,2009,14,12
"Adams, CO",Colorado,2010,9,8
"Adams, CO",Colorado,2011,7,6
"Adams, CO",Colorado,2012,21,17
"Adams, CO",Colorado,2013,15,13
"Adams, CO",Colorado,2014,19,17
"Adams, CO",Colorado,2015,11,11
"Adams, CO",Colorado,2016,25,22
"Adams, CO",Colorado,2017,27,25
"Adams, CO",Colorado,2018,30,30
"Adams, CO",Colorado,2019,33,29
"Adams, IA",Iowa,1998,1,1
"Adams, IA",Iowa,2001,1,1
"Adams, IA",Iowa,2010,2,2
"Adams, IA",Iowa,2015,1,1
"Adams, ID",Idaho,1976,2,1
"Adams, ID",Idaho,1988,1,1
"Adams, ID",Idaho,2007,1,1
"Adams, IL",Illinois,1976,7,7
"Adams, IL",Illinois,1978,3,3
"Adams, IL",Illinois,1979,2,1
"Adams, IL",Illinois,1980,4,4
"Adams, IL",Illinois,1981,4,4
"Adams, IL",Illinois,1982,3,3
"Adams, IL",Illinois,1984,4,4
"Adams, IL",Illinois,1985,2,2
"Adams, IL",Illinois,1986,1,1
"Adams, IL",Illinois,1988,4,4
"Adams, IL",Illinois,1990,1,1
"Adams, IL",Illinois,1991,1,1
"Adams, IL",Illinois,1992,1,1
"Adams, IL",Illinois,1994,1,1
"Adams, IL",Illinois,2018,2,2
"Adams, IL",Illinois,2019,4,2
"Adams, IN",Indiana,1979,1,1
"Adams, IN",Indiana,1998,1,1
"Adams, IN",Indiana,1999,1,1
"Adams, IN",Indiana,2009,1,1
"Adams, MS",Mississippi,1976,5,4
"Adams, MS",Mississippi,1977,5,5
"Adams, MS",Mississippi,1978,2,2
"Adams, MS",Mississippi,1979,6,6
"Adams, MS",Mississippi,1980,3,3
"Adams, MS",Mississippi,1981,3,3
"Adams, MS",Mississippi,1982,3,3
"Adams, MS",Mississippi,1983,4,4
"Adams, MS",Mississippi,1984,7,7
"Adams, MS",Mississippi,1985,2,2
"Adams, MS",Mississippi,1986,3,3
"Adams, MS",Mississippi,1987,2,1
"Adams, MS",Mississippi,1988,2,2
"Adams, MS",Mississippi,1989,3,3
"Adams, MS",Mississippi,1990,3,3
"Adams, MS",Mississippi,1991,4,4
"Adams, MS",Mississippi,1992,1,1
"Adams, MS",Mississippi,1994,8,7
"Adams, MS",Mississippi,1995,2,2
"Adams, MS",Mississippi,1996,4,4
"Adams, MS",Mississippi,1997,11,11
"Adams, MS",Mississippi,1998,1,1
"Adams, MS",Mississippi,1999,6,6
"Adams, MS",Mississippi,2000,2,2
"Adams, MS",Mississippi,2001,2,2
"Adams, MS",Mississippi,2002,6,5
"Adams, MS",Mississippi,2003,6,6
"Adams, MS",Mississippi,2004,1,1
"Adams, MS",Mississippi,2005,2,1
"Adams, MS",Mississippi,2006,4,3
"Adams, MS",Mississippi,2007,5,4
"Adams, MS",Mississippi,2008,3,3
"Adams, MS",Mississippi,2009,3,3
"Adams, MS",Mississippi,2010,4,4
"Adams, MS",Mississippi,2011,6,6
"Adams, MS",Mississippi,2012,4,4
"Adams, MS",Mississippi,2013,1,1
"Adams, MS",Mississippi,2014,5,4
"Adams, MS",Mississippi,2015,3,3
"Adams, ND",North Dakota,1979,1,1
"Adams, ND",North Dakota,1993,1,1
"Adams, ND",North Dakota,2004,1,1
"Adams, NE",Nebraska,1978,1,1
"Adams, NE",Nebraska,1987,1,1
"Adams, NE",Nebraska,1988,1,1
"Adams, NE",Nebraska,1991,1,1
"Adams, NE",Nebraska,1992,1,1
"Adams, NE",Nebraska,1993,1,1
"Adams, NE",Nebraska,1995,2,2
"Adams, NE",Nebraska,1997,1,1
"Adams, NE",Nebraska,1998,1,1
"Adams, NE",Nebraska,1999,1,1
"Adams, NE",Nebraska,2003,2,2
"Adams, NE",Nebraska,2004,1,1
"Adams, NE",Nebraska,2006,1,1
"Adams, NE",Nebraska,2008,1,1
"Adams, NE",Nebraska,2011,1,1
"Adams, NE",Nebraska,2014,1,1
"Adams, NE",Nebraska,2017,1,1
"Adams, NE",Nebraska,2018,2,2
"Adams, OH",Ohio,1977,1,1
"Adams, OH",Ohio,1978,2,2
"Adams, OH",Ohio,1979,1,1
"Adams, OH",Ohio,1980,1,1
"Adams, OH",Ohio,2002,2,2
"Adams, OH",Ohio,2003,2,2
"Adams, OH",Ohio,2005,4,4
"Adams, OH",Ohio,2007,1,1
"Adams, OH",Ohio,2008,1,1
"Adams, OH",Ohio,2010,1,1
"Adams, PA",Pennsylvania,1976,4,3
"Adams, PA",Pennsylvania,1978,2,2
"Adams, PA",Pennsylvania,1980,2,2
"Adams, PA",Pennsylvania,1981,4,2
"Adams, PA",Pennsylvania,1983,1,1
"Adams, PA",Pennsylvania,1984,4,4
"Adams, PA",Pennsylvania,1985,3,3
"Adams, PA",Pennsylvania,1986,7,5
"Adams, PA",Pennsylvania,1988,2,1
"Adams, PA",Pennsylvania,1989,2,2
"Adams, PA",Pennsylvania,1990,3,3
"Adams, PA",Pennsylvania,1992,5,4
"Adams, PA",Pennsylvania,1993,1,1
"Adams, PA",Pennsylvania,1995,1,1
"Adams, PA",Pennsylvania,1996,1,1
"Adams, PA",Pennsylvania,2000,1,1
"Adams, PA",Pennsylvania,2001,2,2
"Adams, PA",Pennsylvania,2002,3,3
"Adams, PA",Pennsylvania,2003,1,1
"Adams, PA",Pennsylvania,2004,1,1
"Adams, PA",Pennsylvania,2005,1,1
"Adams, PA",Pennsylvania,2006,3,3
"Adams, PA",Pennsylvania,2008,2,1
"Adams, PA",Pennsylvania,2009,3,3
"Adams, PA",Pennsylvania,2010,4,4
"Adams, PA",Pennsylvania,2011,1,1
"Adams, PA",Pennsylvania,2012,6,5
"Adams, PA",Pennsylvania,2013,1,1
"Adams, PA",Pennsylvania,2016,2,1
"Adams, PA",Pennsylvania,2017,1,1
"Adams, PA",Pennsylvania,2018,3,3
"Adams, PA",Pennsylvania,2019,2,1
"Adams, WA",Washington,1977,1,1
"Adams, WA",Washington,1978,1,1
"Adams, WA",Washington,1979,2,2
"Adams, WA",Washington,1980,1,1
"Adams, WA",Washington,1981,1,1
"Adams, WA",Washington,1982,1,1
"Adams, WA",Washington,1983,1,1
"Adams, WA",Washington,1985,1,1
"Adams, WA",Washington,1986,1,1
"Adams, WA",Washington,1987,3,3
"Adams, WA",Washington,1990,3,3
"Adams, WA",Washington,1992,2,2
"Adams, WA",Washington,1995,4,3
"Adams, WA",Washington,1999,1,1
"Adams, WA",Washington,2004,1,1
"Adams, WA",Washington,2005,1,1
"Adams, WA",Washington,2006,1,1
"Adams, WA",Washington,2007,2,1
"Adams, WA",Washington,2009,1,1
"Adams, WA",Washington,2010,1,1
"Adams, WA",Washington,2013,3,3
"Adams, WA",Washington,2014,1,1
"Adams, WA",Washington,2016,1,1
"Adams, WA",Washington,2017,1,1
"Adams, WI",Wisconsin,1976,4,1
"Adams, WI",Wisconsin,1977,2,2
"Adams, WI",Wisconsin,1978,1,1
"Adams, WI",Wisconsin,1980,2,2
"Adams, WI",Wisconsin,1981,1,1
"Adams, WI",Wisconsin,1983,1,1
"Adams, WI",Wisconsin,1987,1,1
"Adams, WI",Wisconsin,1988,1,1
"Adams, WI",Wisconsin,1991,1,1
"Adams, WI",Wisconsin,1995,3,3
"Adams, WI",Wisconsin,1997,1,1
"Adams, WI",Wisconsin,2000,1,1
"Adams, WI",Wisconsin,2010,1,1
"Adams, WI",Wisconsin,2013,1,1
"Adams, WI",Wisconsin,2015,2,2
"Adams, WI",Wisconsin,2016,1,1
"Adams, WI",Wisconsin,2017,4,4
"Adams, WI",Wisconsin,2019,1,1
"Addison, VT",Vermont,1996,3,2
"Addison, VT",Vermont,1998,2,2
"Addison, VT",Vermont,1999,5,5
"Addison, VT",Vermont,2000,1,1
"Addison, VT",Vermont,2001,4,4
"Addison, VT",Vermont,2002,7,7
"Addison, VT",Vermont,2003,2,2
"Addison, VT",Vermont,2004,3,3
"Addison, VT",Vermont,2005,2,2
"Addison, VT",Vermont,2006,1,1
"Addison, VT",Vermont,2007,1,1
"Addison, VT",Vermont,2010,1,1
"Addison, VT",Vermont,2014,1,1
"Addison, VT",Vermont,2015,1,1
"Addison, VT",Vermont,2016,1,1
"Addison, VT",Vermont,2017,1,1
"Aiken, SC",South Carolina,1976,10,10
"Aiken, SC",South Carolina,1977,17,15
"Aiken, SC",South Carolina,1978,14,13
"Aiken, SC",South Carolina,1979,14,13
"Aiken, SC",South Carolina,1980,10,9
"Aiken, SC",South Carolina,1981,7,7
"Aiken, SC",South Carolina,1982,14,10
"Aiken, SC",South Carolina,1983,17,15
"Aiken, SC",South Carolina,1984,9,7
"Aiken, SC",South Carolina,1985,11,11
"Aiken, SC",South Carolina,1986,7,7
"Aiken, SC",South Carolina,1987,9,8
"Aiken, SC",South Carolina,1988,14,13
"Aiken, SC",South Carolina,1989,9,7
"Aiken, SC",South Carolina,1990,25,21
"Aiken, SC",South Carolina,1991,18,17
"Aiken, SC",South Carolina,1992,16,13
"Aiken, SC",South Carolina,1993,16,15
"Aiken, SC",South Carolina,1994,17,13
"Aiken, SC",South Carolina,1995,12,12
"Aiken, SC",South Carolina,1996,10,10
"Aiken, SC",South Carolina,1997,12,12
"Aiken, SC",South Carolina,1998,12,9
"Aiken, SC",South Carolina,1999,7,6
"Aiken, SC",South Carolina,2000,5,4
"Aiken, SC",South Carolina,2001,9,9
"Aiken, SC",South Carolina,2002,8,6
"Aiken, SC",South Carolina,2003,6,6
"Aiken, SC",South Carolina,2004,5,5
"Aiken, SC",South Carolina,2005,10,10
"Aiken, SC",South Carolina,2006,10,10
"Aiken, SC",South Carolina,2007,9,8
"Aiken, SC",South Carolina,2008,8,5
"Aiken, SC",South Carolina,2009,12,9
"Aiken, SC",South Carolina,2010,6,6
"Aiken, SC",South Carolina,2011,11,10
"Aiken, SC",South Carolina,2012,13,9
"Aiken, SC",South Carolina,2013,7,7
"Aiken, SC",South Carolina,2014,11,10
"Aiken, SC",South Carolina,2015,10,6
"Aiken, SC",South Carolina,2016,11,10
"Aiken, SC",South Carolina,2017,12,7
"Aiken, SC",South Carolina,2018,14,12
"Aiken, SC",South Carolina,2019,13,10
"Aitkin, MN",Minnesota,1980,1,1
"Aitkin, MN",Minnesota,1981,1,1
"Aitkin, MN",Minnesota,1988,1,1
"Aitkin, MN",Minnesota,1991,1,1
"Aitkin, MN",Minnesota,1998,1,1
"Aitkin, MN",Minnesota,2000,3,3
"Aitkin, MN",Minnesota,2003,1,1
"Aitkin, MN",Minnesota,2006,1,1
"Aitkin, MN",Minnesota,2007,1,1
"Aitkin, MN",Minnesota,2008,2,2
"Aitkin, MN",Minnesota,2009,1,1
"Aitkin, MN",Minnesota,2016,2,2
"Aitkin, MN",Minnesota,2018,1,1
"Aitkin, MN",Minnesota,2019,1,1
"Alachua, FL",Florida,1976,13,11
"Alachua, FL",Florida,1977,17,15
"Alachua, FL",Florida,1978,10,10
"Alachua, FL",Florida,1979,12,8
"Alachua, FL",Florida,1980,14,13
"Alachua, FL",Florida,1981,12,11
"Alachua, FL",Florida,1982,18,16
"Alachua, FL",Florida,1983,13,11
"Alachua, FL",Florida,1984,14,13
"Alachua, FL",Florida,1985,26,19
"Alachua, FL",Florida,1986,13,11
"Alachua, FL",Florida,1987,11,8
"Alachua, FL",Florida,1992,17,12
"Alachua, FL",Florida,1993,12,7
"Alachua, FL",Florida,1994,17,10
"Alachua, FL",Florida,1995,13,8
"Alachua, FL",Florida,1996,6,2
"Alachua, FL",Florida,1997,11,9
"Alachua, FL",Florida,1998,5,4
"Alachua, FL",Florida,1999,8,6
"Alachua, FL",Florida,2000,1,1
"Alachua, FL",Florida,2001,9,7
"Alachua, FL",Florida,2002,7,7
"Alachua, FL",Florida,2003,8,7
"Alachua, FL",Florida,2004,10,9
"Alachua, FL",Florida,2005,7,5
"Alachua, FL",Florida,2006,15,12
"Alachua, FL",Florida,2007,10,9
"Alachua, FL",Florida,2008,4,4
"Alachua, FL",Florida,2009,6,6
"Alachua, FL",Florida,2010,13,9
"Alachua, FL",Florida,2011,15,12
"Alachua, FL",Florida,2012,11,10
"Alachua, FL",Florida,2013,11,9
"Alachua, FL",Florida,2014,5,5
"Alachua, FL",Florida,2015,6,6
"Alachua, FL",Florida,2016,6,5
"Alachua, FL",Florida,2017,11,9
"Alachua, FL",Florida,2018,16,13
"Alamance, NC",North Carolina,1976,10,9
"Alamance, NC",North Carolina,1977,5,5
"Alamance, NC",North Carolina,1978,7,7
"Alamance, NC",North Carolina,1979,14,13
"Alamance, NC",North Carolina,1980,17,15
"Alamance, NC",North Carolina,1981,15,15
"Alamance, NC",North Carolina,1982,11,11
"Alamance, NC",North Carolina,1983,7,7
"Alamance, NC",North Carolina,1984,6,6
"Alamance, NC",North Carolina,1985,5,5
"Alamance, NC",North Carolina,1986,5,5
"Alamance, NC",North Carolina,1987,11,10
"Alamance, NC",North Carolina,1988,10,10
"Alamance, NC",North Carolina,1989,5,5
"Alamance, NC",North Carolina,1990,13,10
"Alamance, NC",North Carolina,1991,8,8
"Alamance, NC",North Carolina,1992,9,8
"Alamance, NC",North Carolina,1993,13,13
"Alamance, NC",North Carolina,1994,13,10
"Alamance, NC",North Carolina,1995,6,5
"Alamance, NC",North Carolina,1996,2,2
"Alamance, NC",North Carolina,1997,9,6
"Alamance, NC",North Carolina,1998,7,7
"Alamance, NC",North Carolina,1999,19,19
"Alamance, NC",North Carolina,2000,3,3
"Alamance, NC",North Carolina,2001,11,8
"Alamance, NC",North Carolina,2002,9,7
"Alamance, NC",North Carolina,2003,7,7
"Alamance, NC",North Carolina,2004,4,4
"Alamance, NC",North Carolina,2005,8,7
"Alamance, NC",North Carolina,2006,6,5
"Alamance, NC",North Carolina,2007,7,4
"Alamance, NC",North Carolina,2008,5,4
"Alamance, NC",North Carolina,2009,4,1
"Alamance, NC",North Carolina,2010,9,8
"Alamance, NC",North Carolina,2011,3,3
"Alamance, NC",North Carolina,2012,4,3
"Alamance, NC",North Carolina,2013,3,3
"Alamance, NC",North Carolina,2014,3,3
"Alamance, NC",North Carolina,2015,10,4
"Alamance, NC",North Carolina,2016,12,8
"Alamance, NC",North Carolina,2017,6,3
"Alamance, NC",North Carolina,2018,4,3
"Alamance, NC",North Carolina,2019,15,15
"Alameda, CA",California,1976,153,114
"Alameda, CA",California,1977,141,94
"Alameda, CA",California,1978,155,109
"Alameda, CA",California,1979,154,103
"Alameda, CA",California,1980,185,124
"Alameda, CA",California,1981,167,135
"Alameda, CA",California,1982,147,104
"Alameda, CA",California,1983,144,111
"Alameda, CA",California,1984,160,124
"Alameda, CA",California,1985,159,105
"Alameda, CA",California,1986,190,127
"Alameda, CA",California,1987,173,106
"Alameda, CA",California,1988,166,113
"Alameda, CA",California,1989,191,131
"Alameda, CA",California,1990,209,143
"Alameda, CA",California,1991,211,122
"Alameda, CA",California,1992,229,113
"Alameda, CA",California,1993,215,106
"Alameda, CA",California,1994,199,111
"Alameda, CA",California,1995,215,127
"Alameda, CA",California,1996,152,96
"Alameda, CA",California,1997,155,72
"Alameda, CA",California,1998,119,77
"Alameda, CA",California,1999,97,46
"Alameda, CA",California,2000,118,64
"Alameda, CA",California,2001,109,46
"Alameda, CA",California,2002,154,69
"Alameda, CA",California,2003,146,70
"Alameda, CA",California,2004,124,66
"Alameda, CA",California,2005,132,71
"Alameda, CA",California,2006,178,67
"Alameda, CA",California,2007,163,49
"Alameda, CA",California,2008,153,41
"Alameda, CA",California,2009,141,45
"Alameda, CA",California,2010,137,54
"Alameda, CA",California,2011,139,36
"Alameda, CA",California,2012,157,59
"Alameda, CA",California,2013,116,57
"Alameda, CA",California,2014,108,61
"Alameda, CA",California,2015,130,76
"Alameda, CA",California,2016,122,64
"Alameda, CA",California,2017,103,65
"Alameda, CA",California,2018,97,41
"Alameda, CA",California,2019,97,46
"Alamosa, CO",Colorado,1978,5,5
"Alamosa, CO",Colorado,1979,1,1
"Alamosa, CO",Colorado,1980,1,1
"Alamosa, CO",Colorado,1981,1,1
"Alamosa, CO",Colorado,1982,1,1
"Alamosa, CO",Colorado,1984,2,2
"Alamosa, CO",Colorado,1985,2,2
"Alamosa, CO",Colorado,1988,2,2
"Alamosa, CO",Colorado,1992,2,2
"Alamosa, CO",Colorado,1994,1,1
"Alamosa, CO",Colorado,1995,1,1
"Alamosa, CO",Colorado,1997,1,1
"Alamosa, CO",Colorado,1998,2,2
"Alamosa, CO",Colorado,2002,1,1
"Alamosa, CO",Colorado,2004,1,1
"Alamosa, CO",Colorado,2007,1,1
"Alamosa, CO",Colorado,2008,1,1
"Alamosa, CO",Colorado,2009,2,2
"Alamosa, CO",Colorado,2011,1,1
"Alamosa, CO",Colorado,2016,1,1
"Alamosa, CO",Colorado,2019,1,1
"Albany, NY",New York,1976,11,7
"Albany, NY",New York,1977,16,14
"Albany, NY",New York,1978,11,9
"Albany, NY",New York,1979,6,5
"Albany, NY",New York,1980,6,6
"Albany, NY",New York,1981,13,12
"Albany, NY",New York,1982,10,7
"Albany, NY",New York,1983,9,9
"Albany, NY",New York,1984,5,5
"Albany, NY",New York,1985,6,6
